NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,PUNTO_DECISION,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,PEOR_HISTORIA_CREDITO,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
2.01E+16,4357,Rechazada,PS1,Rechazado,MALO,0,,,,,4500,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,25,Renta,Preparatoria
2.01E+16,164,Rechazada,PS1,Rechazado,MALO,0,,,,,4780,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,0,0,0,0,0,25,Familiares,Licenciatura
2.01E+16,306,Rechazada,PS1,Rechazado,MALO,0,,,,,4520,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,25,Familiares,Preparatoria
2.01E+16,951,Rechazada,PS1,Rechazado,MALO,0,,,,,5000,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,1,1665,450,0,0,0,25,Renta,Posgrado
2.01E+16,522,Rechazada,PS1,Rechazado,MALO,0,,,,,4950,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,296000,Alto,0%,4,89,0,1,30397,1830,0,17050,0,25,Renta,Licenciatura
2.01E+16,4644,Rechazada,PS1,Rechazado,MALO,0,,,,,4780,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,28000,Alto,0%,3,90,0,0,1193,0,0,0,0,25,Propia,Licenciatura
2.01E+16,7796,Rechazada,PS1,Rechazado,MALO,0,,,,,5150,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,90,0,0,0,0,0,0,0,25,Familiares,Preparatoria
2.01E+16,10025,Rechazada,PS1,Rechazado,MALO,0,,,,,4725,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,90,0,0,0,0,0,0,0,25,Familiares,Preparatoria
2.01E+16,50012,Cancelada,PS1,Rechazado,MALO,0,,,,,5019,SIN COMPROBANTE,#N/A,NO_CLIENTE,0,Alto,0%,5,91,0,0,0,0,0,0,0,25,Renta,Posgrado
2.01E+16,165,Rechazada,PS1,Rechazado,MALO,0,,,,,4746,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,2,91,0,0,0,0,0,0,0,25,Propia,Licenciatura
2.01E+16,4413,Rechazada,PS1,Rechazado,MALO,0,,,,,5250,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,91,0,1,5853,250,0,0,0,25,Propia,Licenciatura
2.01E+16,220,Rechazada,PS1,Rechazado,MALO,0,,,,,5198,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,91,0,0,0,0,0,0,0,25,Propia,Licenciatura
2.01E+16,682,Rechazada,PS1,Rechazado,MALO,0,,,,,5019,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,91,0,0,0,0,0,0,0,25,Propia,Licenciatura
2.01E+16,937,Rechazada,PS1,Rechazado,MALO,0,,,,,5408,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,76000,Alto,0%,3,91,0,0,0,0,0,0,0,25,Renta,Licenciatura
2.01E+16,4339,Rechazada,PS1,Rechazado,MALO,0,,,,,4961,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,91,0,0,0,0,0,0,0,25,Renta,Posgrado
2.01E+16,4749,Rechazada,PS1,Rechazado,MALO,0,,,,,5270,PAGOS PROV SEMESTRALES PF,#N/A,NO_CLIENTE,24500,Alto,0%,4,91,0,0,13174,0,0,0,0,25,Hipoteca,Posgrado
2.01E+16,413,Rechazada,PS1,Rechazado,MALO,0,,,,,4983,PAGOS PROV SEMESTRALES PF,#N/A,NO_CLIENTE,0,Alto,0%,3,92,0,0,0,0,0,8677,0,25,Propia,Posgrado
2.01E+16,9187,Rechazada,PS1,Rechazado,MALO,0,,,,,5513,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,92,0,0,0,0,0,0,0,25,Propia,Licenciatura
2.01E+16,8161,Rechazada,PS1,Rechazado,MALO,0,,,,,5457,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,7600,Alto,0%,5,92,0,0,0,0,0,0,0,25,Hipoteca,Posgrado
2.01E+16,7813,Rechazada,PS1,Rechazado,MALO,0,,,,,5270,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,4,92,0,0,0,0,0,0,0,25,Renta,Preparatoria
2.01E+16,7618,Rechazada,PS1,Rechazado,MALO,0,,,,,5678,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,92,0,0,0,0,0,0,0,25,Propia,Preparatoria
2.01E+16,4503,Rechazada,PS1,Rechazado,MALO,0,,,,,4500,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,92,0,0,0,0,0,0,0,25,Propia,Licenciatura
2.01E+16,539,Rechazada,PS1,Rechazado,MALO,0,,,,,4780,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,92,0,0,0,0,0,0,0,25,Familiares,Posgrado
2.01E+16,289,Rechazada,PS1,Rechazado,MALO,0,,,,,4520,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,92,0,0,0,0,0,0,0,25,Familiares,Licenciatura
2.01E+16,4568,Rechazada,PS1,Rechazado,MALO,0,,,,,5000,PAGOS PROV SEMESTRALES PF,#N/A,NO_CLIENTE,0,Alto,0%,2,93,0,0,0,0,0,3395,0,25,Propia,Preparatoria
2.01E+16,9037,Rechazada,PS1,Rechazado,MALO,0,,,,,4950,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,93,0,0,0,0,0,8322,0,25,Hipoteca,Posgrado
